trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
39	9	2	0	4	3	1	5	0.0	1	2012	4	1	7	13.0	10	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.378976
106	22	0	0	1	3	1	1	1.0	1	2012	4	1	7	11.0	42	1	1	2	1304	0.365	0.109722222	0.218611111	0.0	0.066666667	0.0	0	0.095277778	1.5	0.26	0.0	0.131195
114	23	0	1	4	5	2	1	1.0	1	2012	4	1	7	17.0	32	1	1	2	1977	0.590833333	0.169166667	0.155277778	0.0	0.113333333	0.0	0	0.123333333	1.5	0.34	0.0	0.1531529999999999
124	26	0	3	4	5	1	5	0.0	1	2012	4	2	1	11.0	61	0	1	2	3594	0.905	0.281111111	0.208611111	0.0	0.230555556	0.1166666669999999	1	0.1938888889999999	0.0	0.7	0.0	0.159026
127	26	1	1	4	3	1	1	1.0	1	2012	4	2	1	13.75	59	1	1	2	2016	0.4508333329999999	0.136388889	0.161944444	0.0	0.0605555559999999	0.0	0	0.082777778	1.5	0.29	0.0	0.191275
128	26	1	2	4	3	1	1	1.0	1	2012	4	2	1	15.5	59	1	1	2	2016	0.462222222	0.145	0.164444444	0.0	0.091944444	0.0	0	0.085833333	1.5	0.29	0.0	0.365696
151	31	0	0	2	1	6	1	1.0	1	2012	4	2	1	9.0	32	0	1	0	3032	0.751388889	0.208055556	0.136944444	0.0	0.345277778	0.1	1	0.280833333	3.0	0.63	0.0	0.5153310000000001
156	31	1	0	1	3	6	1	1.0	1	2012	4	2	1	11.0	36	1	0	0	2099	0.488333333	0.188611111	0.147777778	0.0	0.189444444	0.0	0	0.1397222219999999	1.5	0.34	0.0	0.328032
253	54	1	1	3	3	6	1	0.0	1	2012	4	3	2	14.5	27	0	1	0	1924	0.475277778	0.175	0.143055556	0.083333333	0.0	0.0	0	0.159722222	1.5	0.38	0.0	0.612174
266	59	0	0	4	3	1	5	0.0	1	2012	4	3	2	11.0	76	0	1	1	1547	0.363333333	0.093888889	0.08	0.0	0.0991666669999999	0.0	0	0.0922222219999999	0.0	0.27	0.0	0.0421686999999999
267	59	0	1	4	3	1	5	0.0	1	2012	4	3	2	12.0	76	0	1	1	1547	0.370833333	0.1266666669999999	0.055277778	0.0	0.138333333	0.0	0	0.083055556	0.0	0.26	0.0	0.0769231
278	62	1	1	4	3	1	5	0.0	1	2012	4	4	3	9.5	73	0	1	1	4739	1.428611111	0.551111111	0.163611111	0.0	0.466666667	0.0	0	0.2469444439999999	0.0	0.88	0.0	0.1619799999999999
313	72	1	1	1	3	6	1	1.0	1	2012	4	6	5	12.41666667	23	0	0	0	664	0.208888889	0.072777778	0.170277778	0.0	0.0144444439999999	0.0	0	0.070833333	1.5	0.17	0.0	0.0
323	75	0	2	4	3	1	1	1.0	1	2012	4	6	5	15.35	50	0	1	1	9416	2.165277778	0.652222222	0.091111111	0.0	0.84	0.1	1	0.542222222	3.0	1.54	0.0	0.353484
342	81	0	0	1	3	1	1	1.0	1	2012	4	6	5	14.5	50	0	1	2	776	0.375833333	0.103333333	0.208333333	0.0	0.055555556	0.0	0	0.025	1.5	0.08	0.0	0.0444444
347	81	1	4	4	2	1	1	1.0	1	2012	4	6	5	19.66666667	43	1	1	2	3197	0.814444444	0.221111111	0.176388889	0.05	0.106944444	0.152777778	1	0.231666667	3.0	0.76	0.0	0.583933
351	81	4	0	1	3	1	5	0.0	1	2012	4	6	5	14.5	9	0	0	2	776	0.375833333	0.103333333	0.208333333	0.0	0.055555556	0.0	0	0.025	0.0	0.08	0.0	0.0444444
369	86	0	2	4	5	3	1	1.0	1	2012	4	7	6	11.33333333	64	1	1	2	3255	0.810555556	0.228333333	0.238888889	0.0	0.15	0.0	0	0.1255555559999999	1.5	0.51	0.0	0.121681
378	88	0	2	4	3	2	5	0.0	1	2012	4	8	7	15.5	63	0	1	2	15685	3.598333333	1.136666667	0.098611111	0.45	0.051388889	0.2166666669999999	2	0.8847222220000001	0.0	2.33	0.0	0.378336
379	88	0	3	4	3	2	5	0.0	1	2012	4	8	7	20.5	63	0	1	2	15685	3.668055556	1.2325	0.090833333	0.433333333	0.039444444	0.316666667	2	0.778333333	0.0	2.23	0.0	0.317273
419	97	0	1	4	1	1	1	1.0	1	2012	4	8	7	17.0	47	0	1	2	2174	0.499722222	0.129444444	0.306666667	0.0	0.121111111	0.0	0	0.185833333	1.5	0.51	0.0	0.402093
423	97	2	1	4	3	1	2	0.0	1	2012	4	8	7	13.0	17	1	0	2	2696	0.6175	0.1566666669999999	0.2691666669999999	0.0	0.156944444	0.0	0	0.1975	0.0	0.54	0.0	0.495077
430	98	0	2	4	3	1	1	1.0	1	2012	4	9	1	21.75	43	0	1	1	2041	0.511388889	0.156388889	0.053055556	0.0	0.191944444	0.0	0	0.1186111109999999	1.5	0.35	0.0	0.0819672
441	99	2	4	4	3	1	3	0.0	1	2012	4	9	1	16.0	14	1	0	1	8415	2.096111111	0.588333333	0.264722222	0.133333333	0.2097222219999999	0.1	1	0.6183333329999999	0.75	1.66	0.0	0.5422279999999999
454	102	2	2	4	3	2	3	0.0	1	2012	4	9	1	14.75	12	1	0	2	3236	0.961666667	0.359722222	0.37	0.1	0.0	0.0	0	0.183055556	0.75	0.6	0.0	0.115326
457	103	3	0	3	3	6	3	0.0	1	2012	4	9	1	15.5	13	0	0	0	2673	0.686111111	0.232222222	0.115833333	0.0	0.274166667	0.090833333	1	0.197222222	0.0	0.48	0.0	0.26338
